case_id;activity;timestamp
1;a;2010-12-30 14:32:00+01:00
1;c;2010-12-30 14:32:00+01:00
1;d;2010-12-30 14:32:00+01:00
2;a;2010-12-30 14:32:00+01:00
2;c;2010-12-30 14:32:00+01:00
2;d;2010-12-30 14:32:00+01:00
3;a;2010-12-30 14:32:00+01:00
3;c;2010-12-30 14:32:00+01:00
3;d;2010-12-30 14:32:00+01:00
4;a;2010-12-30 14:32:00+01:00
4;d;2010-12-30 14:32:00+01:00
4;c;2010-12-30 14:32:00+01:00
5;a;2010-12-30 14:32:00+01:00
5;d;2010-12-30 14:32:00+01:00
5;c;2010-12-30 14:32:00+01:00
6;b;2010-12-30 14:32:00+01:00
6;c;2010-12-30 14:32:00+01:00
6;d;2010-12-30 14:32:00+01:00
7;b;2010-12-30 14:32:00+01:00
7;c;2010-12-30 14:32:00+01:00
7;d;2010-12-30 14:32:00+01:00
8;b;2010-12-30 14:32:00+01:00
8;d;2010-12-30 14:32:00+01:00
8;c;2010-12-30 14:32:00+01:00
9;b;2010-12-30 14:32:00+01:00
9;d;2010-12-30 14:32:00+01:00
9;c;2010-12-30 14:32:00+01:00
10;b;2010-12-30 14:32:00+01:00
10;d;2010-12-30 14:32:00+01:00
10;c;2010-12-30 14:32:00+01:00
11;b;2010-12-30 14:32:00+01:00
11;d;2010-12-30 14:32:00+01:00
11;c;2010-12-30 14:32:00+01:00
