id;org:resource;concept:name;time:timestamp;org:role;case:id;case:concept:name;case:BudgetNumber;case:DeclarationNumber;case:Amount;start_timestamp;year;start_year;trace;cluster
st_step 86794_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-09 09:49:50+00:00;EMPLOYEE;declaration 86791;declaration 86791;budget 86566;declaration number 86792;26.85120450862128;2017-01-09 09:49:50+00:00;2017;2017;Declaration SUBMITTED by EMPLOYEE;2
st_step 86793_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2017-01-09 11:27:48+00:00;SUPERVISOR;declaration 86791;declaration 86791;budget 86566;declaration number 86792;26.85120450862128;2017-01-09 11:27:48+00:00;2017;2017;Declaration FINAL_APPROVED by SUPERVISOR;2
dd_declaration 86791_19;SYSTEM;Request Payment;2017-01-10 09:34:44+00:00;UNDEFINED;declaration 86791;declaration 86791;budget 86566;declaration number 86792;26.85120450862128;2017-01-10 09:34:44+00:00;2017;2017;Request Payment;2
dd_declaration 86791_20;SYSTEM;Payment Handled;2017-01-12 17:31:22+00:00;UNDEFINED;declaration 86791;declaration 86791;budget 86566;declaration number 86792;26.85120450862128;2017-01-12 17:31:22+00:00;2017;2017;Payment Handled;2
st_step 86798_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-09 10:26:14+00:00;EMPLOYEE;declaration 86795;declaration 86795;budget 86566;declaration number 86796;182.46417204248664;2017-01-09 10:26:14+00:00;2017;2017;Declaration SUBMITTED by EMPLOYEE;2
st_step 86799_0;STAFF MEMBER;Declaration APPROVED by PRE_APPROVER;2017-02-22 10:29:21+00:00;PRE_APPROVER;declaration 86795;declaration 86795;budget 86566;declaration number 86796;182.46417204248664;2017-02-22 10:29:21+00:00;2017;2017;Declaration APPROVED by PRE_APPROVER;2
st_step 86797_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2017-02-23 08:14:45+00:00;SUPERVISOR;declaration 86795;declaration 86795;budget 86566;declaration number 86796;182.46417204248664;2017-02-23 08:14:45+00:00;2017;2017;Declaration FINAL_APPROVED by SUPERVISOR;2
dd_declaration 86795_19;SYSTEM;Request Payment;2017-03-06 14:07:25+00:00;UNDEFINED;declaration 86795;declaration 86795;budget 86566;declaration number 86796;182.46417204248664;2017-03-06 14:07:25+00:00;2017;2017;Request Payment;2
dd_declaration 86795_20;SYSTEM;Payment Handled;2017-03-13 17:30:59+00:00;UNDEFINED;declaration 86795;declaration 86795;budget 86566;declaration number 86796;182.46417204248664;2017-03-13 17:30:59+00:00;2017;2017;Payment Handled;2
st_step 86804_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-09 11:13:33+00:00;EMPLOYEE;declaration 86800;declaration 86800;budget 86566;declaration number 86801;320.64613660358276;2017-01-09 11:13:33+00:00;2017;2017;Declaration SUBMITTED by EMPLOYEE;2
st_step 86802_0;STAFF MEMBER;Declaration APPROVED by PRE_APPROVER;2017-02-02 18:58:50+00:00;PRE_APPROVER;declaration 86800;declaration 86800;budget 86566;declaration number 86801;320.64613660358276;2017-02-02 18:58:50+00:00;2017;2017;Declaration APPROVED by PRE_APPROVER;2
st_step 86803_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2017-02-09 05:15:04+00:00;SUPERVISOR;declaration 86800;declaration 86800;budget 86566;declaration number 86801;320.64613660358276;2017-02-09 05:15:04+00:00;2017;2017;Declaration FINAL_APPROVED by SUPERVISOR;2
dd_declaration 86800_19;SYSTEM;Request Payment;2017-02-09 16:00:15+00:00;UNDEFINED;declaration 86800;declaration 86800;budget 86566;declaration number 86801;320.64613660358276;2017-02-09 16:00:15+00:00;2017;2017;Request Payment;2
dd_declaration 86800_20;SYSTEM;Payment Handled;2017-02-13 17:32:14+00:00;UNDEFINED;declaration 86800;declaration 86800;budget 86566;declaration number 86801;320.64613660358276;2017-02-13 17:32:14+00:00;2017;2017;Payment Handled;2
st_step 86733_0;STAFF MEMBER;Declaration SUBMITTED by EMPLOYEE;2017-01-09 11:24:20+00:00;EMPLOYEE;declaration 86731;declaration 86731;budget 86566;declaration number 86732;113.86204717835876;2017-01-09 11:24:20+00:00;2017;2017;Declaration SUBMITTED by EMPLOYEE;2
st_step 86734_0;STAFF MEMBER;Declaration FINAL_APPROVED by SUPERVISOR;2017-01-09 11:37:23+00:00;SUPERVISOR;declaration 86731;declaration 86731;budget 86566;declaration number 86732;113.86204717835876;2017-01-09 11:37:23+00:00;2017;2017;Declaration FINAL_APPROVED by SUPERVISOR;2
dd_declaration 86731_19;SYSTEM;Request Payment;2017-01-11 14:37:18+00:00;UNDEFINED;declaration 86731;declaration 86731;budget 86566;declaration number 86732;113.86204717835876;2017-01-11 14:37:18+00:00;2017;2017;Request Payment;2
