case_id;timestamp;activity;case:concept:name;concept:name;time:timestamp;@@index;@@case_index;cluster
declaration 100122;2018-04-22 08:46:06+00:00;Declaration SUBMITTED by EMPLOYEE;declaration 100122;Declaration SUBMITTED by EMPLOYEE;2018-04-22 08:46:06+00:00;122;23;1
declaration 100122;2018-04-22 08:50:50+00:00;Declaration REJECTED by ADMINISTRATION;declaration 100122;Declaration REJECTED by ADMINISTRATION;2018-04-22 08:50:50+00:00;123;23;1
declaration 100122;2018-04-23 08:08:51+00:00;Declaration REJECTED by EMPLOYEE;declaration 100122;Declaration REJECTED by EMPLOYEE;2018-04-23 08:08:51+00:00;124;23;1
declaration 100122;2018-04-23 08:11:17+00:00;Declaration SUBMITTED by EMPLOYEE;declaration 100122;Declaration SUBMITTED by EMPLOYEE;2018-04-23 08:11:17+00:00;125;23;1
declaration 100122;2018-04-23 08:11:29+00:00;Declaration APPROVED by ADMINISTRATION;declaration 100122;Declaration APPROVED by ADMINISTRATION;2018-04-23 08:11:29+00:00;126;23;1
declaration 100122;2018-04-23 09:29:46+00:00;Declaration APPROVED by BUDGET OWNER;declaration 100122;Declaration APPROVED by BUDGET OWNER;2018-04-23 09:29:46+00:00;127;23;1
declaration 100122;2018-04-24 08:26:06+00:00;Declaration FINAL_APPROVED by SUPERVISOR;declaration 100122;Declaration FINAL_APPROVED by SUPERVISOR;2018-04-24 08:26:06+00:00;128;23;1
declaration 100122;2018-04-24 08:26:07+00:00;Request Payment;declaration 100122;Request Payment;2018-04-24 08:26:07+00:00;129;23;1
declaration 100122;2018-04-26 15:30:51+00:00;Payment Handled;declaration 100122;Payment Handled;2018-04-26 15:30:51+00:00;130;23;1
declaration 100365;2017-12-18 20:15:56+00:00;Declaration SUBMITTED by EMPLOYEE;declaration 100365;Declaration SUBMITTED by EMPLOYEE;2017-12-18 20:15:56+00:00;365;65;1
declaration 100365;2018-01-25 12:38:32+00:00;Declaration REJECTED by ADMINISTRATION;declaration 100365;Declaration REJECTED by ADMINISTRATION;2018-01-25 12:38:32+00:00;366;65;1
declaration 100365;2018-01-30 14:52:08+00:00;Declaration REJECTED by EMPLOYEE;declaration 100365;Declaration REJECTED by EMPLOYEE;2018-01-30 14:52:08+00:00;367;65;1
declaration 100365;2018-01-30 17:53:59+00:00;Declaration SUBMITTED by EMPLOYEE;declaration 100365;Declaration SUBMITTED by EMPLOYEE;2018-01-30 17:53:59+00:00;368;65;1
declaration 100365;2018-01-30 17:54:10+00:00;Declaration APPROVED by ADMINISTRATION;declaration 100365;Declaration APPROVED by ADMINISTRATION;2018-01-30 17:54:10+00:00;369;65;1
declaration 100365;2018-01-31 12:31:30+00:00;Declaration APPROVED by BUDGET OWNER;declaration 100365;Declaration APPROVED by BUDGET OWNER;2018-01-31 12:31:30+00:00;370;65;1
declaration 100365;2018-02-07 04:15:15+00:00;Declaration FINAL_APPROVED by SUPERVISOR;declaration 100365;Declaration FINAL_APPROVED by SUPERVISOR;2018-02-07 04:15:15+00:00;371;65;1
declaration 100365;2018-02-12 14:14:41+00:00;Request Payment;declaration 100365;Request Payment;2018-02-12 14:14:41+00:00;372;65;1
declaration 100365;2018-02-15 16:31:17+00:00;Payment Handled;declaration 100365;Payment Handled;2018-02-15 16:31:17+00:00;373;65;1
declaration 100380;2018-01-09 11:51:46+00:00;Declaration SUBMITTED by EMPLOYEE;declaration 100380;Declaration SUBMITTED by EMPLOYEE;2018-01-09 11:51:46+00:00;380;67;1
declaration 100380;2018-01-09 11:53:19+00:00;Declaration REJECTED by ADMINISTRATION;declaration 100380;Declaration REJECTED by ADMINISTRATION;2018-01-09 11:53:19+00:00;381;67;1
declaration 100380;2018-01-09 12:14:53+00:00;Declaration REJECTED by EMPLOYEE;declaration 100380;Declaration REJECTED by EMPLOYEE;2018-01-09 12:14:53+00:00;382;67;1
declaration 100380;2018-01-09 13:14:34+00:00;Declaration SUBMITTED by EMPLOYEE;declaration 100380;Declaration SUBMITTED by EMPLOYEE;2018-01-09 13:14:34+00:00;383;67;1
declaration 100380;2018-01-09 13:14:43+00:00;Declaration APPROVED by ADMINISTRATION;declaration 100380;Declaration APPROVED by ADMINISTRATION;2018-01-09 13:14:43+00:00;384;67;1
declaration 100380;2018-01-09 14:08:14+00:00;Declaration FINAL_APPROVED by SUPERVISOR;declaration 100380;Declaration FINAL_APPROVED by SUPERVISOR;2018-01-09 14:08:14+00:00;385;67;1
declaration 100380;2018-01-09 21:11:24+00:00;Request Payment;declaration 100380;Request Payment;2018-01-09 21:11:24+00:00;386;67;1
declaration 100380;2018-01-11 16:30:56+00:00;Payment Handled;declaration 100380;Payment Handled;2018-01-11 16:30:56+00:00;387;67;1
declaration 100816;2018-01-23 18:01:06+00:00;Declaration SUBMITTED by EMPLOYEE;declaration 100816;Declaration SUBMITTED by EMPLOYEE;2018-01-23 18:01:06+00:00;811;146;1
declaration 100816;2018-01-23 18:04:45+00:00;Declaration REJECTED by ADMINISTRATION;declaration 100816;Declaration REJECTED by ADMINISTRATION;2018-01-23 18:04:45+00:00;812;146;1
declaration 100816;2018-01-24 07:40:46+00:00;Declaration REJECTED by EMPLOYEE;declaration 100816;Declaration REJECTED by EMPLOYEE;2018-01-24 07:40:46+00:00;813;146;1
declaration 100816;2018-01-25 09:23:48+00:00;Declaration SUBMITTED by EMPLOYEE;declaration 100816;Declaration SUBMITTED by EMPLOYEE;2018-01-25 09:23:48+00:00;814;146;1
declaration 100816;2018-01-25 09:23:56+00:00;Declaration APPROVED by ADMINISTRATION;declaration 100816;Declaration APPROVED by ADMINISTRATION;2018-01-25 09:23:56+00:00;815;146;1
declaration 100816;2018-01-25 15:18:22+00:00;Declaration FINAL_APPROVED by SUPERVISOR;declaration 100816;Declaration FINAL_APPROVED by SUPERVISOR;2018-01-25 15:18:22+00:00;816;146;1
declaration 100816;2018-01-26 14:36:40+00:00;Request Payment;declaration 100816;Request Payment;2018-01-26 14:36:40+00:00;817;146;1
declaration 100816;2018-01-29 16:31:10+00:00;Payment Handled;declaration 100816;Payment Handled;2018-01-29 16:31:10+00:00;818;146;1
declaration 100928;2018-02-20 16:30:35+00:00;Declaration SUBMITTED by EMPLOYEE;declaration 100928;Declaration SUBMITTED by EMPLOYEE;2018-02-20 16:30:35+00:00;922;166;1
declaration 100928;2018-02-20 16:34:05+00:00;Declaration REJECTED by ADMINISTRATION;declaration 100928;Declaration REJECTED by ADMINISTRATION;2018-02-20 16:34:05+00:00;923;166;1
declaration 100928;2018-02-22 11:08:01+00:00;Declaration REJECTED by EMPLOYEE;declaration 100928;Declaration REJECTED by EMPLOYEE;2018-02-22 11:08:01+00:00;924;166;1
declaration 100928;2018-02-26 13:27:04+00:00;Declaration SUBMITTED by EMPLOYEE;declaration 100928;Declaration SUBMITTED by EMPLOYEE;2018-02-26 13:27:04+00:00;925;166;1
declaration 100928;2018-02-26 13:27:06+00:00;Declaration APPROVED by ADMINISTRATION;declaration 100928;Declaration APPROVED by ADMINISTRATION;2018-02-26 13:27:06+00:00;926;166;1
declaration 100928;2018-02-26 13:43:49+00:00;Declaration FINAL_APPROVED by SUPERVISOR;declaration 100928;Declaration FINAL_APPROVED by SUPERVISOR;2018-02-26 13:43:49+00:00;927;166;1
declaration 100928;2018-02-27 08:05:13+00:00;Request Payment;declaration 100928;Request Payment;2018-02-27 08:05:13+00:00;928;166;1
declaration 100928;2018-03-01 16:31:25+00:00;Payment Handled;declaration 100928;Payment Handled;2018-03-01 16:31:25+00:00;929;166;1
declaration 100941;2018-02-20 16:35:36+00:00;Declaration SUBMITTED by EMPLOYEE;declaration 100941;Declaration SUBMITTED by EMPLOYEE;2018-02-20 16:35:36+00:00;935;168;1
declaration 100941;2018-02-20 16:38:15+00:00;Declaration REJECTED by ADMINISTRATION;declaration 100941;Declaration REJECTED by ADMINISTRATION;2018-02-20 16:38:15+00:00;936;168;1
