case_id,timestamp,activity,case:concept:name,concept:name,time:timestamp,@@index,@@case_index,cluster
declaration 100015,2018-01-31 13:30:18+00:00,Declaration APPROVED by BUDGET OWNER,declaration 100015,Declaration APPROVED by BUDGET OWNER,2018-01-31 13:30:18+00:00,17,3,7
declaration 100021,2018-01-31 12:23:35+00:00,Declaration APPROVED by BUDGET OWNER,declaration 100021,Declaration APPROVED by BUDGET OWNER,2018-01-31 12:23:35+00:00,23,4,7
declaration 100042,2018-04-23 09:20:42+00:00,Declaration APPROVED by BUDGET OWNER,declaration 100042,Declaration APPROVED by BUDGET OWNER,2018-04-23 09:20:42+00:00,44,8,7
declaration 100053,2018-04-20 12:41:34+00:00,Declaration APPROVED by BUDGET OWNER,declaration 100053,Declaration APPROVED by BUDGET OWNER,2018-04-20 12:41:34+00:00,55,10,7
declaration 100079,2018-04-23 09:20:03+00:00,Declaration APPROVED by BUDGET OWNER,declaration 100079,Declaration APPROVED by BUDGET OWNER,2018-04-23 09:20:03+00:00,81,15,7
declaration 100105,2018-04-30 07:36:43+00:00,Declaration APPROVED by BUDGET OWNER,declaration 100105,Declaration APPROVED by BUDGET OWNER,2018-04-30 07:36:43+00:00,107,20,7
declaration 100116,2018-04-23 08:07:48+00:00,Declaration APPROVED by BUDGET OWNER,declaration 100116,Declaration APPROVED by BUDGET OWNER,2018-04-23 08:07:48+00:00,118,22,7
declaration 100122,2018-04-23 09:29:46+00:00,Declaration APPROVED by BUDGET OWNER,declaration 100122,Declaration APPROVED by BUDGET OWNER,2018-04-23 09:29:46+00:00,127,23,7
declaration 100131,2018-04-23 08:10:00+00:00,Declaration APPROVED by BUDGET OWNER,declaration 100131,Declaration APPROVED by BUDGET OWNER,2018-04-23 08:10:00+00:00,133,24,7
declaration 100137,2018-04-23 08:49:06+00:00,Declaration APPROVED by BUDGET OWNER,declaration 100137,Declaration APPROVED by BUDGET OWNER,2018-04-23 08:49:06+00:00,139,25,7
declaration 100143,2018-04-23 06:45:13+00:00,Declaration APPROVED by BUDGET OWNER,declaration 100143,Declaration APPROVED by BUDGET OWNER,2018-04-23 06:45:13+00:00,145,26,7
declaration 100154,2018-04-23 08:48:43+00:00,Declaration APPROVED by BUDGET OWNER,declaration 100154,Declaration APPROVED by BUDGET OWNER,2018-04-23 08:48:43+00:00,156,28,7
declaration 100160,2018-04-23 11:06:51+00:00,Declaration APPROVED by BUDGET OWNER,declaration 100160,Declaration APPROVED by BUDGET OWNER,2018-04-23 11:06:51+00:00,162,29,7
declaration 100166,2018-04-23 08:03:20+00:00,Declaration APPROVED by BUDGET OWNER,declaration 100166,Declaration APPROVED by BUDGET OWNER,2018-04-23 08:03:20+00:00,168,30,7
declaration 100197,2018-01-16 09:19:31+00:00,Declaration APPROVED by BUDGET OWNER,declaration 100197,Declaration APPROVED by BUDGET OWNER,2018-01-16 09:19:31+00:00,203,36,7
declaration 100207,2018-02-12 15:51:03+00:00,Declaration APPROVED by BUDGET OWNER,declaration 100207,Declaration APPROVED by BUDGET OWNER,2018-02-12 15:51:03+00:00,209,37,7
declaration 100233,2018-02-16 09:47:55+00:00,Declaration APPROVED by BUDGET OWNER,declaration 100233,Declaration APPROVED by BUDGET OWNER,2018-02-16 09:47:55+00:00,235,42,7
declaration 100239,2018-02-13 08:55:47+00:00,Declaration APPROVED by BUDGET OWNER,declaration 100239,Declaration APPROVED by BUDGET OWNER,2018-02-13 08:55:47+00:00,241,43,7
declaration 100245,2018-02-26 13:53:36+00:00,Declaration APPROVED by BUDGET OWNER,declaration 100245,Declaration APPROVED by BUDGET OWNER,2018-02-26 13:53:36+00:00,254,44,7
declaration 100258,2018-06-18 12:10:52+00:00,Declaration APPROVED by BUDGET OWNER,declaration 100258,Declaration APPROVED by BUDGET OWNER,2018-06-18 12:10:52+00:00,260,45,7
declaration 100289,2018-02-13 14:22:26+00:00,Declaration APPROVED by BUDGET OWNER,declaration 100289,Declaration APPROVED by BUDGET OWNER,2018-02-13 14:22:26+00:00,291,51,7
declaration 100295,2018-02-15 07:53:09+00:00,Declaration APPROVED by BUDGET OWNER,declaration 100295,Declaration APPROVED by BUDGET OWNER,2018-02-15 07:53:09+00:00,297,52,7
declaration 100311,2018-02-14 13:10:17+00:00,Declaration APPROVED by BUDGET OWNER,declaration 100311,Declaration APPROVED by BUDGET OWNER,2018-02-14 13:10:17+00:00,313,55,7
declaration 100317,2018-02-14 13:10:54+00:00,Declaration APPROVED by BUDGET OWNER,declaration 100317,Declaration APPROVED by BUDGET OWNER,2018-02-14 13:10:54+00:00,319,56,7
declaration 100348,2018-02-14 13:52:33+00:00,Declaration APPROVED by BUDGET OWNER,declaration 100348,Declaration APPROVED by BUDGET OWNER,2018-02-14 13:52:33+00:00,350,62,7
declaration 100359,2018-02-26 13:54:03+00:00,Declaration APPROVED by BUDGET OWNER,declaration 100359,Declaration APPROVED by BUDGET OWNER,2018-02-26 13:54:03+00:00,361,64,7
